COMPANY,PRESENT ,HIGH,LOW,PREV.CLOSE,PREFERRED
Gujarat Narmada Vall ,89.4,114,62,87.15,sell
Jai Corp Ltd. ,89.1,116.8,54.6,88.85,sell
Deepak Nitrite ,88.95,106,28,86.5,sell
Tata Power Co. ,88.75,115.25,69.9,88.75,sell
Lakshmi Vilas Ba ,88.3,90.7,49.55,86.8,sell
HDIL ,88.15,113.85,38.7,86.95,buy
Graphite India Ltd. ,88.1,126.15,69,89.3,buy
Global Vectra Helico ,87.9,93.3,9,83.5,sell
Neyveli Lignite ,87.8,108.5,54.55,88,buy
UCO Bank ,87.7,115.75,62.05,86.4,sell
Nahar Capital & Fina ,87.55,101.95,41.6,88.5,buy
Accel Frontline ,87.35,95.95,29.4,87.2,buy
Andhra Bank ,86.8,110,53.5,85.15,sell
Steel Authority ,86.4,112.9,54,80.3,sell
sail,86.4,112.9,54,80.3,sell
Heidelberg Cement In ,86.35,104,32.7,85.6,buy
Vimta Labs Ltd. ,86.3,133.8,45,87.3,sell
GHCL ,86.2,107.1,31.25,85.85,buy
Goa Carbons ,85.4,111.5,52.55,86.9,buy
Guj. Industries ,85.2,106.4,53.05,85.6,buy
Ramco Industries ,84.6,92.75,29,82.15,buy
Bal Pharma Ltd ,84,103.8,20.05,84.25,sell
Jain Irrigation ,82.4,133.45,56.45,82.05,buy
Aptech Ltd. ,82,112.9,66.6,82.05,sell
SPML Infra ,81.45,93,24.45,78.1,buy
DCM Ltd. ,81,112.7,66,81.8,sell
Mangalore Chem. ,81,104.6,52.3,80.3,buy
indiabull real estate,80.9,109.45,45.1,77.65,buy
Star Ferro & Cement ,79.5,81.75,14.55,77.6,sell
Hind. Copper ,79,125,57.7,80.5,buy
Smartlink Network ,79,93.6,39,79.2,buy
Kamat Hotels (In ,78,113.45,49.2,82.25,buy
Balaji Amines Li ,78,99,35,79.2,sell
Orchid Chem & Ph ,76.45,85.3,42.2,73.95,sell
Supreme Petroche ,76.2,98.45,50.95,76.7,sell
Balaji Telefilms Ltd ,76.1,92,33.2,77.25,buy
JSW Energy Ltd. ,75.65,85.85,42,74.8,buy
SIL Investments Ltd. ,75.3,89.8,40.9,79.5,buy
Central Bank ,74.2,88.8,43.05,73.75,buy
Praj Industries ,73.85,79.15,38.3,68.3,sell
L&T Finance Holdings ,73.8,88.3,62.3,73.85,sell
D B Realty Ltd. ,73.5,116.2,47.55,68.7,sell
Bharat Gears ,72.45,85.6,35.5,72.2,buy
Sterlite Technologie ,72.1,76.25,19,70.25,buy
idbi bank,71.55,116.5,52.95,70.1,buy
IDBI Bank Ltd. ,71.55,116.5,52.9,70.1,buy
HCL Infosystem ,70.6,94.5,19,70.5,buy
Rossell India ,70.5,79.8,33.4,73,sell
Subros Ltd. ,70.3,78,22.8,68,buy
Bombay Dyeing ,69.15,87.55,48.25,69,buy
Birla Ericsson ,66.05,86,13.8,69.5,sell
MMTC Ltd. ,65,106.8,45.5,66,buy
Kernex Microsystems ,63.35,80,28.8,64.8,sell
Cybertech System ,63.2,74.9,13.3,70.2,sell
Dish TV India Ltd. ,62.95,64.8,43.25,61.4,sell
West Coast Paper ,62.85,73.5,45.8,61.1,sell
Dena Bank ,62.1,94.4,51.1,62,buy
TV 18 India ,62.05,68,61.25,68.3,buy
NCC Ltd,61.3,62.5,20.17,57.3,buy
IL&FS Engineering ,61.25,76.1,31,62.25,buy
Williamson Magor ,59.95,68.55,30,60,buy
Reliance MediaWorks ,59.85,66,36.6,59.95,buy
Kopran Ltd ,59.45,72.65,19.15,60.25,buy
Bhagwati Banquets & ,58.5,81.5,46.4,57.9,buy
Edelweiss Fin. Ser ,58.15,66.9,24.9,58.55,sell
Automotive Stampings ,57,75.6,26.15,57.05,buy
